peak,beat_index,class_name,probabilities,qrs_ms,qrs_ge_120,rr_previous_relative,compensatory_ratio
2505,10,V,"{'N': 0.0015931068221928313, 'S': 0.00042365351332228514, 'V': 0.9968530231268945, 'F': 0.0004662329246149669, 'Q': 0.0006639836129755068}",155.55555725097656,True,0.7161571979522705,0.9934498071670532
2796,11,N,"{'N': 0.9470520511906872, 'S': 0.011703667995132316, 'V': 0.028430307785978777, 'F': 0.01120045194767975, 'Q': 0.0016135210805216793}",91.66666412353516,False,1.1570576429367065,0.9602385759353638
2988,12,V,"{'N': 0.00045753299805977417, 'S': 0.00010592342883632429, 'V': 0.9992882471421438, 'F': 9.919276273468271e-05, 'Q': 4.910366822530643e-05}",183.3333282470703,True,0.8275862336158752,1.107758641242981
3310,13,N,"{'N': 0.9618959818419096, 'S': 0.008443067927021297, 'V': 0.012626343983198606, 'F': 0.015796299598399594, 'Q': 0.001238306649470666}",88.88888549804688,False,1.387930989265442,1.0646551847457886
3482,14,V,"{'N': 0.00036598147249225857, 'S': 8.94654167319544e-05, 'V': 0.9993976885036172, 'F': 0.00010628820450900822, 'Q': 4.0576402649625304e-05}",163.88888549804688,True,0.7527352571487427,0.9584245085716248
3748,15,N,"{'N': 0.9991144674788065, 'S': 0.00013113760075197435, 'V': 0.00022134741783955472, 'F': 0.00046308875916435725, 'Q': 6.995874343773098e-05}",88.88888549804688,False,1.1416308879852295,1.0793991088867188
3985,16,N,"{'N': 0.9995371340660288, 'S': 9.977561932939103e-05, 'V': 0.00014770537174736071, 'F': 0.0001796060749623904, 'Q': 3.577886793200329e-05}",86.11111450195312,False,1.017167329788208,0.995708167552948
4212,17,N,"{'N': 0.9937554314471024, 'S': 0.002332336845185581, 'V': 0.0009980027483888418, 'F': 0.0024006091851416513, 'Q': 0.0005136197741816426}",88.88888549804688,False,0.9598308801651001,0.9344608783721924
4427,18,N,"{'N': 0.9978021027315677, 'S': 0.00029804783969243696, 'V': 0.0008226951860504816, 'F': 0.000882423434793326, 'Q': 0.0001947308078961273}",91.66666412353516,False,0.9227467775344849,0.954935610294342
4657,19,N,"{'N': 0.9934580917200657, 'S': 0.002593253853042369, 'V': 0.001212081604113052, 'F': 0.0022980490148792943, 'Q': 0.00043852380789950306}",94.44444274902344,False,0.9871244430541992,1.0
4893,20,N,"{'N': 0.9847091908861014, 'S': 0.005729954671586845, 'V': 0.004421559241605946, 'F': 0.0041935535992783605, 'Q': 0.0009457416014273434}",100.0,False,1.0128755569458008,1.04935622215271
5146,21,N,"{'N': 0.9881661507858247, 'S': 0.0035671845631024797, 'V': 0.004561461595170378, 'F': 0.002968898263483395, 'Q': 0.0007363047924189938}",97.22222137451172,False,1.107221007347107,1.0919036865234375
5392,22,N,"{'N': 0.9992983096486198, 'S': 0.0002287700002168181, 'V': 0.0001816337424753201, 'F': 0.0002356532680790976, 'Q': 5.563334060887244e-05}",91.66666412353516,False,1.0557940006256104,1.008583664894104
5616,23,N,"{'N': 0.9848748972790999, 'S': 0.004388215965676071, 'V': 0.002290948255056603, 'F': 0.007784725143220696, 'Q': 0.0006612133569466117}",86.11111450195312,False,0.9613733887672424,0.9442059993743896
5832,24,N,"{'N': 0.9742319057398104, 'S': 0.016663921274302027, 'V': 0.004487498709637943, 'F': 0.002309578191844092, 'Q': 0.0023070960844054937}",91.66666412353516,False,0.8962655663490295,1.0
6098,25,N,"{'N': 0.969296672761213, 'S': 0.004964297788732595, 'V': 0.01135660322266951, 'F': 0.013089231713750761, 'Q': 0.0012931945136341542}",97.22222137451172,False,1.1319148540496826,0.9638298153877258
6285,26,V,"{'N': 0.00024940505203003665, 'S': 0.00011938933273833923, 'V': 0.9995109603416414, 'F': 9.116446546202924e-05, 'Q': 2.908080812807647e-05}",163.88888549804688,True,0.7957446575164795,0.9765957593917847
6557,27,N,"{'N': 0.9497226783647722, 'S': 0.014160651880234696, 'V': 0.010607842907271573, 'F': 0.02186830214392011, 'Q': 0.0036405247038013527}",86.11111450195312,False,1.2363636493682861,0.9840909242630005
6718,28,V,"{'N': 0.000271747609355781, 'S': 5.796761210347513e-05, 'V': 0.9995312059743163, 'F': 9.179144447624043e-05, 'Q': 4.728735974819812e-05}",150.0,True,0.6680498123168945,1.1016597747802734
7088,29,N,"{'N': 0.8958650808047357, 'S': 0.026162964804040137, 'V': 0.03794589796368239, 'F': 0.03821453279456908, 'Q': 0.0018115236329726715}",97.22222137451172,False,1.6335541009902954,1.1942604780197144
7259,30,V,"{'N': 0.021136446111215734, 'S': 0.0004924316487482091, 'V': 0.7217454227971281, 'F': 0.0009927436280158493, 'Q': 0.25563295581489204}",152.77777099609375,True,0.9526462554931641,2.2869081497192383
7909,31,N,"{'N': 0.9729307329560312, 'S': 0.004433291418881166, 'V': 0.01620656623988179, 'F': 0.005445581840772982, 'Q': 0.0009838275444329183}",91.66666412353516,False,2.9279279708862305,1.8333333730697632
8073,32,V,"{'N': 0.0005773905269723986, 'S': 0.00010078810764290271, 'V': 0.9990719022673964, 'F': 0.00013959365139280445, 'Q': 0.00011032544659549961}",147.22222900390625,True,0.8770053386688232,1.3235293626785278
8404,33,N,"{'N': 0.9794724796103128, 'S': 0.00484616634684031, 'V': 0.005387820464837102, 'F': 0.009279443299884156, 'Q': 0.001014090278125414}",83.33333587646484,False,1.2420262098312378,0.9437147974967957
8576,34,V,"{'N': 0.02099083226657822, 'S': 0.0018309365634061215, 'V': 0.9738155785076, 'F': 0.0028790712387146192, 'Q': 0.0004835814237010485}",111.11111450195312,False,0.757709264755249,0.7378854751586914
8739,35,V,"{'N': 0.00022669666436469704, 'S': 3.323374725701851e-05, 'V': 0.9996731604281968, 'F': 2.7925401623607534e-05, 'Q': 3.898375855774748e-05}",119.44444274902344,False,0.6707819104194641,1.2448559999465942
9181,36,N,"{'N': 0.9962781840688067, 'S': 0.00042510026994873977, 'V': 0.0006998156205727026, 'F': 0.0022754664714558256, 'Q': 0.00032143356921603616}",91.66666412353516,False,1.8649789094924927,1.358649730682373
9383,37,V,"{'N': 0.00029668080215001456, 'S': 7.51356920972237e-05, 'V': 0.9995268628339083, 'F': 7.000659580745413e-05, 'Q': 3.131407603688278e-05}",136.11111450195312,True,0.846960186958313,1.1320754289627075
9721,38,N,"{'N': 0.9900390270932089, 'S': 0.005913139457592807, 'V': 0.0017534459703718087, 'F': 0.001740353379510988, 'Q': 0.0005540340993155104}",105.55555725097656,False,1.4352442026138306,1.252653956413269
9973,39,N,"{'N': 0.9957704518735756, 'S': 0.0014558153640360349, 'V': 0.0015702458798906077, 'F': 0.0009005407546391399, 'Q': 0.0003029461278585104}",97.22222137451172,False,1.0700637102127075,1.0318471193313599
10207,40,N,"{'N': 0.9989387853303612, 'S': 0.0002240909440574536, 'V': 0.0003850301633158855, 'F': 0.000343371948424112, 'Q': 0.00010872161384103108}",88.88888549804688,False,0.993630588054657,1.0063694715499878
10447,41,N,"{'N': 0.9942493890760955, 'S': 0.002138500181916745, 'V': 0.0010760334308725762, 'F': 0.002237263036548324, 'Q': 0.00029881427456695994}",88.88888549804688,False,1.0191082954406738,1.012738823890686
10684,42,N,"{'N': 0.997976712300389, 'S': 0.00042927598057843774, 'V': 0.00046465591199739494, 'F': 0.0009818489856872495, 'Q': 0.0001475068213480905}",100.0,False,0.9937106966972351,0.9727463126182556
10911,43,N,"{'N': 0.9958720932430175, 'S': 0.001560372326753814, 'V': 0.0010985104623336317, 'F': 0.0011409256871697023, 'Q': 0.00032809828072520326}",83.33333587646484,False,0.9517819881439209,0.9622641801834106
11143,44,N,"{'N': 0.9926771442488341, 'S': 0.002277012170995996, 'V': 0.0013671611221438616, 'F': 0.003238643940016532, 'Q': 0.00044003851800941923}",88.88888549804688,False,0.9851379990577698,0.9787685871124268
11372,45,N,"{'N': 0.9898045966058957, 'S': 0.004725917307518287, 'V': 0.0020295599657045088, 'F': 0.0028648857403121004, 'Q': 0.0005750403805693038}",94.44444274902344,False,0.9601677060127258,1.0167714357376099
11628,46,N,"{'N': 0.9951779511502342, 'S': 0.0007570338734816824, 'V': 0.00176228619661983, 'F': 0.001972215876080628, 'Q': 0.000330512903583443}",100.0,False,1.0916844606399536,1.0597014427185059
11869,47,N,"{'N': 0.9799370942810781, 'S': 0.0104647026907566, 'V': 0.005164524199716135, 'F': 0.003272364996999779, 'Q': 0.001161313831449467}",116.66666412353516,False,1.0455530881881714,1.1757049560546875
12170,48,N,"{'N': 0.9933312107715467, 'S': 0.0009024351317801733, 'V': 0.0028542909325324386, 'F': 0.0024868526868984616, 'Q': 0.00042521047724249257}",88.88888549804688,False,1.2727272510528564,1.0443974733352661
12363,49,V,"{'N': 0.0013527446706872732, 'S': 0.00043407353055811056, 'V': 0.9975182339688209, 'F': 0.00042607351377787773, 'Q': 0.000268874316155979}",150.0,True,0.8212766051292419,1.1936169862747192
12731,50,N,"{'N': 0.9770063632433824, 'S': 0.004271686038826804, 'V': 0.011616248071880775, 'F': 0.006158535519421237, 'Q': 0.0009471671264888173}",75.0,False,1.4808852672576904,1.0784708261489868
12899,51,V,"{'N': 0.00494240268943119, 'S': 0.0004945932730433806, 'V': 0.993385860176955, 'F': 0.0009697558728352255, 'Q': 0.00020738798773516868}",111.11111450195312,False,0.6693227291107178,0.6673306822776794
13066,52,V,"{'N': 0.00013345459577329794, 'S': 2.9098792382154152e-05, 'V': 0.9997470896953219, 'F': 3.777368205083737e-05, 'Q': 5.2583234471713077e-05}",136.11111450195312,True,0.727668821811676,1.3834422826766968
13534,53,N,"{'N': 0.9289429565329479, 'S': 0.004709669647102582, 'V': 0.03579956737428168, 'F': 0.02863702602379573, 'Q': 0.0019107804218718772}",88.88888549804688,False,2.0392158031463623,1.4509804248809814
13732,54,V,"{'N': 0.0003519134828077187, 'S': 5.126546149152675e-05, 'V': 0.9994709354373156, 'F': 8.094230880081201e-05, 'Q': 4.494330958429978e-05}",158.3333282470703,True,0.8627451062202454,1.2570805549621582
14111,55,N,"{'N': 0.9874404681328302, 'S': 0.006346806148801992, 'V': 0.0019795200049464367, 'F': 0.002502998845564244, 'Q': 0.0017302068678574426}",105.55555725097656,False,1.6514160633087158,1.3943355083465576
14372,56,N,"{'N': 0.9170793142318941, 'S': 0.0024744290259387093, 'V': 0.0659508604047218, 'F': 0.013199581637131978, 'Q': 0.0012958147003134597}",116.66666412353516,False,1.1372549533843994,0.9716775417327881
14557,57,V,"{'N': 0.000530960812752304, 'S': 0.0002497196571100677, 'V': 0.998898379009958, 'F': 0.00023788461105990743, 'Q': 8.305590911984524e-05}",127.77777862548828,True,0.6187291145324707,0.9046822786331177
14913,58,N,"{'N': 0.9676108688696268, 'S': 0.003106433209223128, 'V': 0.011172327871453471, 'F': 0.016801714149815954, 'Q': 0.0013086558998806055}",108.33333587646484,False,1.3459357023239136,0.996219277381897
15084,59,V,"{'N': 0.0002961467502960451, 'S': 9.557140192848077e-05, 'V': 0.9994375753202798, 'F': 0.0001278549793661142, 'Q': 4.2851548129413264e-05}",166.6666717529297,True,0.6465028524398804,0.960302472114563
15421,60,N,"{'N': 0.950915042771942, 'S': 0.018670071275305195, 'V': 0.011229474902625465, 'F': 0.017623881858295595, 'Q': 0.0015615291918314729}",91.66666412353516,False,1.2741020917892456,0.964083194732666
15594,61,V,"{'N': 0.0003851461060637947, 'S': 8.686830820164102e-05, 'V': 0.9993626189155392, 'F': 0.00011969806584199483, 'Q': 4.5668604353471277e-05}",147.22222900390625,True,0.7473002076148987,1.1187905073165894
15939,62,N,"{'N': 0.9829918479501067, 'S': 0.005882387386682141, 'V': 0.003545084533992926, 'F': 0.004099129964538563, 'Q': 0.003481550164679655}",83.33333587646484,False,1.2277580499649048,1.090747356414795
16207,63,N,"{'N': 0.977932675708027, 'S': 0.002836630447773139, 'V': 0.012303494806295818, 'F': 0.006381895885132779, 'Q': 0.0005453031527712365}",91.66666412353516,False,1.1576673984527588,1.0
16402,64,V,"{'N': 0.000972346296314361, 'S': 0.00018670613052179853, 'V': 0.9984783044478469, 'F': 0.000257547508230996, 'Q': 0.00010509561708595048}",161.11111450195312,True,0.6939501762390137,0.8861209750175476
16705,65,N,"{'N': 0.9777996141964799, 'S': 0.002625561605281613, 'V': 0.007475953613936489, 'F': 0.010986950438027204, 'Q': 0.0011119201462751348}",83.33333587646484,False,1.3088552951812744,1.0323973894119263
16880,66,V,"{'N': 0.0009994881988564153, 'S': 0.00029126066366719146, 'V': 0.9983985749174, 'F': 0.00023341322665186372, 'Q': 7.726299342479167e-05}",155.55555725097656,True,0.6227757930755615,0.8345195651054382
17174,67,N,"{'N': 0.9603053858394855, 'S': 0.011983613115134533, 'V': 0.011993561210186764, 'F': 0.013771977749622508, 'Q': 0.0019454620855704238}",88.88888549804688,False,1.269978404045105,0.9870410561561584
17337,68,V,"{'N': 0.0005405311813065569, 'S': 0.00014224973803078907, 'V': 0.9989834106845271, 'F': 0.00024179435831290667, 'Q': 9.201403782273288e-05}",163.88888549804688,True,0.6666666865348816,1.0286298990249634
17677,69,N,"{'N': 0.9295352049030494, 'S': 0.015195169138264984, 'V': 0.02932307054463823, 'F': 0.0238531073219647, 'Q': 0.002093448092082557}",91.66666412353516,False,1.2878787517547607,0.9886363744735718
17859,70,V,"{'N': 0.0005816627074868962, 'S': 0.000116210495498269, 'V': 0.9991013368172874, 'F': 0.00014336949883679526, 'Q': 5.742048089070451e-05}",163.88888549804688,True,0.8387096524238586,1.2281105518341064
18210,71,N,"{'N': 0.9132372144909575, 'S': 0.021570991880707987, 'V': 0.04541989065154763, 'F': 0.01755203577516026, 'Q': 0.0022198672016267022}",88.88888549804688,False,1.329545497894287,0.9905303120613098
18382,72,V,"{'N': 0.0008657186463834667, 'S': 8.708124777940224e-05, 'V': 0.9988503946929885, 'F': 7.791596205895274e-05, 'Q': 0.00011888945078968055}",127.77777862548828,True,0.7926267385482788,1.1658985614776611
18716,73,N,"{'N': 0.9695357794448549, 'S': 0.000647257782066329, 'V': 0.025513134614262155, 'F': 0.0033483298685244405, 'Q': 0.0009554982902921315}",108.33333587646484,False,1.2651515007019043,1.075757622718811
18950,74,N,"{'N': 0.9459159860052632, 'S': 0.01106223165751125, 'V': 0.02979532566998062, 'F': 0.011372017441768415, 'Q': 0.001854439225476516}",83.33333587646484,False,1.078341007232666,1.0
19150,75,V,"{'N': 0.00017605018971008827, 'S': 6.0256969358147815e-05, 'V': 0.9995169530212362, 'F': 0.0001293919652258804, 'Q': 0.00011734785446976141}",180.55555725097656,True,0.7575757503509521,0.935606062412262
19444,76,N,"{'N': 0.8187579086196908, 'S': 0.015066415136306232, 'V': 0.016090284801717463, 'F': 0.1474921168448884, 'Q': 0.0025932745973969635}",80.55555725097656,False,1.3548387289047241,1.080645203590393
19619,77,V,"{'N': 0.0009454911509372446, 'S': 0.00042764701229150285, 'V': 0.9980803930806281, 'F': 0.0003797565369308396, 'Q': 0.0001667122192125727}",119.44444274902344,False,0.6628788113594055,0.9109848737716675
19925,78,N,"{'N': 0.966908689803092, 'S': 0.002851899743373674, 'V': 0.013953803917302589, 'F': 0.01542916294594344, 'Q': 0.0008564435902883009}",75.0,False,1.4101382493972778,1.1013824939727783
20097,79,V,"{'N': 0.0003899133562643433, 'S': 0.00011539612935144742, 'V': 0.9993462128168937, 'F': 0.00010436211230341548, 'Q': 4.41155851871286e-05}",144.44444274902344,True,0.7151767015457153,1.0748441219329834
20442,80,N,"{'N': 0.9866180335610435, 'S': 0.0027102817405931004, 'V': 0.005425406971526452, 'F': 0.004810860402857868, 'Q': 0.0004354173239789682}",108.33333587646484,False,1.4375,1.1333333253860474
20641,81,V,"{'N': 0.0008874001245877927, 'S': 0.00016707990119629697, 'V': 0.9984902663297093, 'F': 0.00032412015152451804, 'Q': 0.00013113349298186181}",150.0,True,1.0,1.3115577697753906
20964,82,N,"{'N': 0.901352382206395, 'S': 0.02803705478589653, 'V': 0.00826140824034144, 'F': 0.06068876128473993, 'Q': 0.0016603934826269586}",72.22222137451172,False,1.3458333015441895,0.9958333373069763
21119,83,V,"{'N': 0.015207338139110706, 'S': 0.001062161737178935, 'V': 0.954901649287835, 'F': 0.0013985632836634612, 'Q': 0.027430287552211878}",155.55555725097656,True,0.7788944840431213,1.0954773426055908
21400,84,V,"{'N': 0.3255517712967437, 'S': 0.0023207793610336694, 'V': 0.6607713612417138, 'F': 0.009738627178099967, 'Q': 0.0016174609224089164}",113.88888549804688,False,1.1708333492279053,0.9458333253860474
