wave,onset,peak,offset,lead,source
P,1257,1285,1302,aVL,annotation
QRS,1324,1345,1359,aVL,annotation
T,1455,1518,1564,aVL,annotation
P,1907,1942,1964,aVL,annotation
QRS,1984,2002,2020,aVL,annotation
T,2121,2176,2216,aVL,annotation
P,2562,2586,2606,aVL,annotation
QRS,2624,2646,2671,aVL,annotation
T,2754,2820,2863,aVL,annotation
P,3220,3257,3277,aVL,annotation
QRS,3297,3317,3332,aVL,annotation
T,3432,3490,3532,aVL,annotation
P,3892,3912,3934,aVL,annotation
QRS,3953,3972,3996,aVL,annotation
QRS,635,659,688,aVF,annotation
T,795,861,899,aVF,annotation
P,1248,1275,1291,aVF,annotation
QRS,1314,1340,1361,aVF,annotation
T,1479,1549,1580,aVF,annotation
P,1911,1933,1949,aVF,annotation
QRS,1980,1995,2023,aVF,annotation
T,2137,2206,2250,aVF,annotation
P,2546,2576,2592,aVF,annotation
QRS,2617,2641,2663,aVF,annotation
T,2788,2834,2891,aVF,annotation
P,3224,3244,3261,aVF,annotation
QRS,3289,3313,3334,aVF,annotation
T,3438,3511,3551,aVF,annotation
P,3877,3901,3917,aVF,annotation
QRS,3950,3965,3998,aVF,annotation
QRS,641,655,686,V1,annotation
T,745,827,862,V1,annotation
P,1252,1267,1283,V1,annotation
QRS,1321,1336,1365,V1,annotation
T,1426,1508,1543,V1,annotation
P,1908,1925,1941,V1,annotation
QRS,1981,1994,2021,V1,annotation
T,2094,2165,2204,V1,annotation
P,2552,2569,2580,V1,annotation
QRS,2624,2635,2665,V1,annotation
T,2732,2806,2844,V1,annotation
P,3217,3239,3253,V1,annotation
QRS,3292,3306,3343,V1,annotation
T,3406,3479,3518,V1,annotation
P,3882,3897,3911,V1,annotation
QRS,3946,3963,3997,V1,annotation
QRS,641,660,681,V2,annotation
T,765,830,880,V2,annotation
P,1240,1275,1299,V2,annotation
QRS,1318,1339,1360,V2,annotation
T,1434,1510,1556,V2,annotation
P,1911,1932,1963,V2,annotation
QRS,1978,1998,2021,V2,annotation
T,2078,2167,2215,V2,annotation
P,2547,2569,2606,V2,annotation
QRS,2625,2640,2663,V2,annotation
T,2725,2810,2859,V2,annotation
P,3220,3247,3276,V2,annotation
QRS,3294,3311,3332,V2,annotation
T,3410,3482,3532,V2,annotation
P,3880,3901,3924,V2,annotation
QRS,3946,3967,3990,V2,annotation
QRS,641,661,680,V3,annotation
T,746,832,885,V3,annotation
P,1240,1276,1304,V3,annotation
QRS,1320,1341,1360,V3,annotation
T,1435,1512,1561,V3,annotation
P,1910,1935,1963,V3,annotation
QRS,1979,1999,2020,V3,annotation
T,2103,2169,2222,V3,annotation
P,2550,2571,2602,V3,annotation
QRS,2618,2642,2662,V3,annotation
T,2732,2812,2863,V3,annotation
P,3219,3249,3278,V3,annotation
QRS,3297,3313,3332,V3,annotation
T,3413,3484,3538,V3,annotation
P,3876,3903,3927,V3,annotation
QRS,3944,3968,3989,V3,annotation
QRS,641,661,681,V4,annotation
T,760,834,884,V4,annotation
P,1254,1276,1302,V4,annotation
QRS,1319,1341,1360,V4,annotation
T,1445,1515,1562,V4,annotation
P,1909,1935,1961,V4,annotation
QRS,1983,1999,2021,V4,annotation
T,2105,2172,2224,V4,annotation
P,2552,2574,2606,V4,annotation
QRS,2625,2642,2660,V4,annotation
T,2740,2814,2864,V4,annotation
P,3226,3246,3276,V4,annotation
QRS,3296,3312,3333,V4,annotation
T,3411,3485,3537,V4,annotation
P,3875,3902,3929,V4,annotation
QRS,3946,3968,3990,V4,annotation
QRS,641,662,680,V5,annotation
T,767,838,886,V5,annotation
P,1258,1278,1305,V5,annotation
QRS,1325,1342,1358,V5,annotation
T,1452,1519,1570,V5,annotation
P,1908,1936,1962,V5,annotation
QRS,1977,2000,2020,V5,annotation
T,2108,2176,2224,V5,annotation
P,2551,2574,2605,V5,annotation
QRS,2623,2642,2660,V5,annotation
T,2748,2817,2865,V5,annotation
P,3217,3246,3277,V5,annotation
QRS,3297,3313,3332,V5,annotation
T,3427,3489,3543,V5,annotation
P,3878,3903,3928,V5,annotation
QRS,3951,3969,3989,V5,annotation
QRS,643,663,679,V6,annotation
T,770,843,898,V6,annotation
P,1257,1278,1304,V6,annotation
QRS,1322,1342,1359,V6,annotation
T,1465,1524,1573,V6,annotation
P,1906,1936,1963,V6,annotation
QRS,1982,2000,2020,V6,annotation
T,2115,2181,2213,V6,annotation
P,2552,2578,2605,V6,annotation
QRS,2625,2643,2660,V6,annotation
T,2758,2822,2863,V6,annotation
P,3225,3249,3272,V6,annotation
QRS,3296,3314,3332,V6,annotation
T,3425,3493,3543,V6,annotation
P,3880,3904,3930,V6,annotation
QRS,3950,3969,3986,V6,annotation
