wave,onset,peak,offset,confidence,source,lead,duration_ms,onset_s,offset_s,onset_abs,peak_abs,offset_abs,qrs_ge_120
QRS,4072,4102,4138,0.864037275314331,predicted,I,132.0,8.144,8.276,4072,4102,4138,True
T,4164,4198,4246,0.9540327191352844,predicted,I,164.0,8.328,8.492,4164,4198,4246,
P,4304,4322,4340,0.9525876045227051,predicted,I,72.0,8.608,8.68,4304,4322,4340,
QRS,4376,4404,4444,0.8106609582901001,predicted,I,136.0,8.752,8.888,4376,4404,4444,True
T,4468,4498,4546,0.9686668515205383,predicted,I,156.0,8.936,9.092,4468,4498,4546,
P,4604,4642,4642,0.9455208778381348,predicted,I,76.0,9.208,9.284,4604,4642,4642,
QRS,4670,4702,4742,0.9294310808181763,predicted,I,144.0,9.34,9.484,4670,4702,4742,True
T,4764,4796,4848,0.9630279541015625,predicted,I,168.0,9.528,9.696,4764,4796,4848,
P,4900,4924,4944,0.9182308316230774,predicted,I,88.0,9.8,9.888,4900,4924,4944,
QRS,4970,5002,5040,0.933747410774231,predicted,I,140.0,9.94,10.08,4970,5002,5040,True
T,5062,5104,5152,0.9664056301116943,predicted,I,180.0,10.124,10.304,5062,5104,5152,
P,5208,5226,5244,0.9329476356506348,predicted,I,72.0,10.416,10.488,5208,5226,5244,
QRS,5274,5306,5324,0.9214766621589661,predicted,I,100.0,10.548,10.648,5274,5306,5324,False
T,5366,5396,5450,0.966189980506897,predicted,I,168.0,10.732,10.9,5366,5396,5450,
P,5504,5540,5540,0.9427726864814758,predicted,I,72.0,11.008,11.08,5504,5540,5540,
QRS,5572,5604,5640,0.9071861505508423,predicted,I,136.0,11.144,11.28,5572,5604,5640,True
T,5666,5696,5748,0.9594696760177612,predicted,I,164.0,11.332,11.496,5666,5696,5748,
P,5800,5822,5838,0.9280975461006165,predicted,I,76.0,11.6,11.676,5800,5822,5838,
QRS,5870,5904,5940,0.9041483402252197,predicted,I,140.0,11.74,11.88,5870,5904,5940,True
T,5964,6004,6052,0.964912474155426,predicted,I,176.0,11.928,12.104,5964,6004,6052,
P,6102,6140,6140,0.9280250668525696,predicted,I,76.0,12.204,12.28,6102,6140,6140,
QRS,6170,6200,6220,0.8943908214569092,predicted,I,100.0,12.34,12.44,6170,6200,6220,False
T,6262,6294,6338,0.9600607752799988,predicted,I,152.0,12.524,12.676,6262,6294,6338,
P,6396,6418,6434,0.9435453414916992,predicted,I,76.0,12.792,12.868,6396,6418,6434,
QRS,6468,6500,6538,0.9227285385131836,predicted,I,140.0,12.936,13.076,6468,6500,6538,True
T,6562,6594,6644,0.9663622975349426,predicted,I,164.0,13.124,13.288,6562,6594,6644,
P,6702,6738,6738,0.9311156868934631,predicted,I,72.0,13.404,13.476,6702,6738,6738,
QRS,6770,6802,6838,0.9098118543624878,predicted,I,136.0,13.54,13.676,6770,6802,6838,True
T,6864,6896,6944,0.9692869186401367,predicted,I,160.0,13.728,13.888,6864,6896,6944,
P,7002,7024,7046,0.9130270481109619,predicted,I,88.0,14.004,14.092,7002,7024,7046,
QRS,7076,7104,7146,0.9677525758743286,predicted,I,140.0,14.152,14.292,7076,7104,7146,True
T,7176,7200,7252,0.9280679225921631,predicted,I,152.0,14.352,14.504,7176,7200,7252,
P,7290,7320,7356,0.9251022934913635,predicted,I,132.0,14.58,14.712,7290,7320,7356,
QRS,7370,7402,7436,0.9141895174980164,predicted,I,132.0,14.74,14.872,7370,7402,7436,True
T,16,38,38,0.609771192073822,predicted,II,44.0,0.032,0.076,16,38,38,
P,138,158,180,0.6757467985153198,predicted,II,84.0,0.276,0.36,138,158,180,
QRS,214,236,252,0.8925384283065796,predicted,II,76.0,0.428,0.504,214,236,252,False
T,276,276,290,0.6238778829574585,predicted,II,28.0,0.552,0.58,276,276,290,
T,294,334,378,0.949942409992218,predicted,II,168.0,0.588,0.756,294,334,378,
P,430,454,476,0.9449406266212463,predicted,II,92.0,0.86,0.952,430,454,476,
QRS,506,532,550,0.9373165369033813,predicted,II,88.0,1.012,1.1,506,532,550,False
T,594,638,678,0.9616212844848633,predicted,II,168.0,1.188,1.356,594,638,678,
P,722,752,774,0.9520464539527893,predicted,II,104.0,1.444,1.548,722,752,774,
QRS,804,832,850,0.9276922345161438,predicted,II,92.0,1.608,1.7,804,832,850,False
T,886,932,978,0.9663646817207336,predicted,II,184.0,1.772,1.956,886,932,978,
P,1026,1070,1070,0.9106557965278625,predicted,II,88.0,2.052,2.14,1026,1070,1070,
QRS,1100,1128,1144,0.9235754609107971,predicted,II,88.0,2.2,2.288,1100,1128,1144,False
T,1182,1230,1274,0.9636485576629639,predicted,II,184.0,2.364,2.548,1182,1230,1274,
P,1320,1342,1368,0.9493508338928223,predicted,II,96.0,2.64,2.736,1320,1342,1368,
QRS,1396,1422,1440,0.9196084141731262,predicted,II,88.0,2.792,2.88,1396,1422,1440,False
T,1480,1524,1570,0.967003345489502,predicted,II,180.0,2.96,3.14,1480,1524,1570,
P,1612,1662,1662,0.9382311701774597,predicted,II,100.0,3.224,3.324,1612,1662,1662,
QRS,1692,1720,1738,0.9215230941772461,predicted,II,92.0,3.384,3.476,1692,1720,1738,False
T,1780,1822,1870,0.9672556519508362,predicted,II,180.0,3.56,3.74,1780,1822,1870,
P,1908,1936,1958,0.9482814073562622,predicted,II,100.0,3.816,3.916,1908,1936,1958,
QRS,1986,2016,2034,0.9213061332702637,predicted,II,96.0,3.972,4.068,1986,2016,2034,False
T,2074,2120,2162,0.9605528116226196,predicted,II,176.0,4.148,4.324,2074,2120,2162,
P,2214,2238,2260,0.9418948292732239,predicted,II,92.0,4.428,4.52,2214,2238,2260,
QRS,2290,2318,2332,0.9327985644340515,predicted,II,84.0,4.58,4.664,2290,2318,2332,False
T,2370,2418,2462,0.9582852125167847,predicted,II,184.0,4.74,4.924,2370,2418,2462,
P,2506,2530,2554,0.9361452460289001,predicted,II,96.0,5.012,5.108,2506,2530,2554,
QRS,2584,2610,2626,0.9053512811660767,predicted,II,84.0,5.168,5.252,2584,2610,2626,False
T,2668,2706,2760,0.9569924473762512,predicted,II,184.0,5.336,5.52,2668,2706,2760,
P,2800,2828,2850,0.9394352436065674,predicted,II,100.0,5.6,5.7,2800,2828,2850,
QRS,2880,2906,2926,0.9313995838165283,predicted,II,92.0,5.76,5.852,2880,2906,2926,False
T,2966,3010,3050,0.9552049040794373,predicted,II,168.0,5.932,6.1,2966,3010,3050,
P,3094,3124,3144,0.9628010392189026,predicted,II,100.0,6.188,6.288,3094,3124,3144,
QRS,3176,3202,3218,0.9460687637329102,predicted,II,84.0,6.352,6.436,3176,3202,3218,False
T,3258,3304,3348,0.9565486907958984,predicted,II,180.0,6.516,6.696,3258,3304,3348,
P,3396,3422,3442,0.9565162062644958,predicted,II,92.0,6.792,6.884,3396,3422,3442,
QRS,3474,3500,3518,0.9363510012626648,predicted,II,88.0,6.948,7.036,3474,3500,3518,False
T,3558,3604,3650,0.9576016664505005,predicted,II,184.0,7.116,7.3,3558,3604,3650,
P,3696,3722,3744,0.9286273717880249,predicted,II,96.0,7.392,7.488,3696,3722,3744,
QRS,3774,3800,3818,0.9216583371162415,predicted,II,88.0,7.548,7.636,3774,3800,3818,False
T,3860,3904,3948,0.9570446610450745,predicted,II,176.0,7.72,7.896,3860,3904,3948,
P,3992,4016,4038,0.956037700176239,predicted,II,92.0,7.984,8.076,3992,4016,4038,
QRS,4070,4096,4114,0.931039571762085,predicted,II,88.0,8.14,8.228,4070,4096,4114,False
T,4158,4200,4244,0.9695215821266174,predicted,II,172.0,8.316,8.488,4158,4200,4244,
P,4296,4320,4344,0.9479197859764099,predicted,II,96.0,8.592,8.688,4296,4320,4344,
QRS,4374,4400,4418,0.9230503439903259,predicted,II,88.0,8.748,8.836,4374,4400,4418,False
T,4458,4504,4546,0.9614191055297852,predicted,II,176.0,8.916,9.092,4458,4504,4546,
P,4592,4616,4640,0.9483489990234375,predicted,II,96.0,9.184,9.28,4592,4616,4640,
QRS,4666,4698,4718,0.9116189479827881,predicted,II,104.0,9.332,9.436,4666,4698,4718,False
T,4752,4796,4846,0.8200166821479797,predicted,II,188.0,9.504,9.692,4752,4796,4846,
P,4888,4918,4942,0.8989051580429077,predicted,II,108.0,9.776,9.884,4888,4918,4942,
QRS,4970,4998,5016,0.9355228543281555,predicted,II,92.0,9.94,10.032,4970,4998,5016,False
T,5054,5098,5148,0.9651052951812744,predicted,II,188.0,10.108,10.296,5054,5098,5148,
P,5198,5220,5244,0.9396535754203796,predicted,II,92.0,10.396,10.488,5198,5220,5244,
QRS,5274,5300,5318,0.9239045977592468,predicted,II,88.0,10.548,10.636,5274,5300,5318,False
T,5362,5400,5448,0.9621894359588623,predicted,II,172.0,10.724,10.896,5362,5400,5448,
P,5494,5542,5542,0.9343670010566711,predicted,II,96.0,10.988,11.084,5494,5542,5542,
QRS,5572,5598,5616,0.9308556914329529,predicted,II,88.0,11.144,11.232,5572,5598,5616,False
T,5660,5696,5746,0.9639543294906616,predicted,II,172.0,11.32,11.492,5660,5696,5746,
P,5792,5820,5842,0.9637490510940552,predicted,II,100.0,11.584,11.684,5792,5820,5842,
QRS,5872,5898,5916,0.9539428949356079,predicted,II,88.0,11.744,11.832,5872,5898,5916,False
T,5954,6000,6050,0.9638420343399048,predicted,II,192.0,11.908,12.1,5954,6000,6050,
P,6102,6116,6138,0.9214469790458679,predicted,II,72.0,12.204,12.276,6102,6116,6138,
QRS,6170,6196,6214,0.9103915095329285,predicted,II,88.0,12.34,12.428,6170,6196,6214,False
T,6254,6298,6342,0.9503223896026611,predicted,II,176.0,12.508,12.684,6254,6298,6342,
P,6390,6416,6436,0.9550411701202393,predicted,II,92.0,12.78,12.872,6390,6416,6436,
QRS,6468,6494,6514,0.940140426158905,predicted,II,92.0,12.936,13.028,6468,6494,6514,False
T,6556,6596,6644,0.9597081542015076,predicted,II,176.0,13.112,13.288,6556,6596,6644,
P,6690,6738,6738,0.9683635234832764,predicted,II,96.0,13.38,13.476,6690,6738,6738,
QRS,6768,6796,6818,0.9312399625778198,predicted,II,100.0,13.536,13.636,6768,6796,6818,False
T,6854,6898,6944,0.9653159976005554,predicted,II,180.0,13.708,13.888,6854,6898,6944,
P,6992,7018,7040,0.9656627178192139,predicted,II,96.0,13.984,14.08,6992,7018,7040,
QRS,7072,7098,7144,0.9353694319725037,predicted,II,144.0,14.144,14.288,7072,7098,7144,True
T,7160,7200,7274,0.8025907874107361,predicted,II,228.0,14.32,14.548,7160,7200,7274,
P,7276,7398,7494,0.5540602803230286,predicted,II,436.0,14.552,14.988,7276,7398,7494,
P,128,152,182,0.9024542570114136,predicted,III,108.0,0.256,0.364,128,152,182,
QRS,206,230,274,0.8982849717140198,predicted,III,136.0,0.412,0.548,206,230,274,True
T,360,360,374,0.7556234002113342,predicted,III,28.0,0.72,0.748,360,360,374,
T,436,444,444,0.5390104055404663,predicted,III,16.0,0.872,0.888,436,444,444,
P,446,448,476,0.7351213693618774,predicted,III,60.0,0.892,0.952,446,448,476,
QRS,496,526,550,0.9130129218101501,predicted,III,108.0,0.992,1.1,496,526,550,False
T,640,640,664,0.7670691013336182,predicted,III,48.0,1.28,1.328,640,640,664,
P,728,750,776,0.9123592972755432,predicted,III,96.0,1.456,1.552,728,750,776,
QRS,804,826,874,0.8532617092132568,predicted,III,140.0,1.608,1.748,804,826,874,True
T,932,960,992,0.8525773882865906,predicted,III,120.0,1.864,1.984,932,960,992,
P,1030,1038,1064,0.8220017552375793,predicted,III,68.0,2.06,2.128,1030,1038,1064,
QRS,1100,1122,1166,0.8469204306602478,predicted,III,132.0,2.2,2.332,1100,1122,1166,True
T,1228,1228,1256,0.7784484624862671,predicted,III,56.0,2.456,2.512,1228,1228,1256,
P,1316,1340,1368,0.9120521545410156,predicted,III,104.0,2.632,2.736,1316,1340,1368,
QRS,1396,1418,1450,0.8905463218688965,predicted,III,108.0,2.792,2.9,1396,1418,1450,False
T,1532,1546,1566,0.8151047825813293,predicted,III,68.0,3.064,3.132,1532,1546,1566,
P,1636,1640,1662,0.741154134273529,predicted,III,52.0,3.272,3.324,1636,1640,1662,
QRS,1694,1714,1742,0.9238161444664001,predicted,III,96.0,3.388,3.484,1694,1714,1742,False
T,1796,1810,1864,0.9319296479225159,predicted,III,136.0,3.592,3.728,1796,1810,1864,
P,1920,1930,1956,0.8725417256355286,predicted,III,72.0,3.84,3.912,1920,1930,1956,
QRS,1986,2010,2050,0.8725793957710266,predicted,III,128.0,3.972,4.1,1986,2010,2050,True
T,2106,2140,2160,0.8811954855918884,predicted,III,108.0,4.212,4.32,2106,2140,2160,
P,2208,2232,2264,0.9471527338027954,predicted,III,112.0,4.416,4.528,2208,2232,2264,
QRS,2290,2312,2334,0.8916767835617065,predicted,III,88.0,4.58,4.668,2290,2312,2334,False
T,2412,2422,2456,0.8522682189941406,predicted,III,88.0,4.824,4.912,2412,2422,2456,
P,2506,2530,2558,0.8889950513839722,predicted,III,104.0,5.012,5.116,2506,2530,2558,
QRS,2584,2604,2658,0.8931946754455566,predicted,III,148.0,5.168,5.316,2584,2604,2658,True
T,2708,2714,2764,0.8353073000907898,predicted,III,112.0,5.416,5.528,2708,2714,2764,
P,2810,2828,2856,0.7192977070808411,predicted,III,92.0,5.62,5.712,2810,2828,2856,
QRS,2874,2902,2932,0.9061896800994873,predicted,III,116.0,5.748,5.864,2874,2902,2932,False
T,2986,2996,3046,0.8194661140441895,predicted,III,120.0,5.972,6.092,2986,2996,3046,
P,3094,3118,3146,0.939788818359375,predicted,III,104.0,6.188,6.292,3094,3118,3146,
QRS,3174,3196,3222,0.9132562279701233,predicted,III,96.0,6.348,6.444,3174,3196,3222,False
T,3296,3324,3336,0.7006481885910034,predicted,III,80.0,6.592,6.672,3296,3324,3336,
P,3392,3416,3446,0.9363127946853638,predicted,III,108.0,6.784,6.892,3392,3416,3446,
QRS,3474,3494,3542,0.7905026078224182,predicted,III,136.0,6.948,7.084,3474,3494,3542,True
T,3604,3614,3652,0.7085066437721252,predicted,III,96.0,7.208,7.304,3604,3614,3652,
P,3700,3720,3744,0.7255634665489197,predicted,III,88.0,7.4,7.488,3700,3720,3744,
QRS,3772,3794,3816,0.901349663734436,predicted,III,88.0,7.544,7.632,3772,3794,3816,False
T,3884,3900,3942,0.8270534873008728,predicted,III,116.0,7.768,7.884,3884,3900,3942,
P,3992,4010,4046,0.834321141242981,predicted,III,108.0,7.984,8.092,3992,4010,4046,
QRS,4068,4090,4136,0.805152952671051,predicted,III,136.0,8.136,8.272,4068,4090,4136,True
T,4196,4196,4224,0.8380926847457886,predicted,III,56.0,8.392,8.448,4196,4196,4224,
P,4300,4314,4342,0.8413423895835876,predicted,III,84.0,8.6,8.684,4300,4314,4342,
QRS,4374,4394,4426,0.8636494278907776,predicted,III,104.0,8.748,8.852,4374,4394,4426,False
QRS,4432,4432,4440,0.5142809748649597,predicted,III,16.0,8.864,8.88,4432,4432,4440,False
T,4496,4506,4522,0.5634993314743042,predicted,III,52.0,8.992,9.044,4496,4506,4522,
P,4592,4618,4636,0.9050964713096619,predicted,III,88.0,9.184,9.272,4592,4618,4636,
QRS,4670,4692,4740,0.8318287134170532,predicted,III,140.0,9.34,9.48,4670,4692,4740,True
T,4802,4812,4846,0.6161749958992004,predicted,III,88.0,9.604,9.692,4802,4812,4846,
P,4892,4916,4938,0.9059937596321106,predicted,III,92.0,9.784,9.876,4892,4916,4938,
QRS,4972,4992,5040,0.8860920071601868,predicted,III,136.0,9.944,10.08,4972,4992,5040,True
T,5104,5106,5122,0.7604464292526245,predicted,III,36.0,10.208,10.244,5104,5106,5122,
P,5196,5218,5244,0.9216654300689697,predicted,III,96.0,10.392,10.488,5196,5218,5244,
QRS,5272,5294,5320,0.881590723991394,predicted,III,96.0,10.544,10.64,5272,5294,5320,False
P,5518,5518,5528,0.6171346306800842,predicted,III,20.0,11.036,11.056,5518,5518,5528,
QRS,5572,5592,5616,0.9004582166671753,predicted,III,88.0,11.144,11.232,5572,5592,5616,False
T,5694,5696,5738,0.8646672368049622,predicted,III,88.0,11.388,11.476,5694,5696,5738,
P,5796,5816,5846,0.9365454912185669,predicted,III,100.0,11.592,11.692,5796,5816,5846,
QRS,5872,5892,5938,0.8570246696472168,predicted,III,132.0,11.744,11.876,5872,5892,5938,True
T,6006,6016,6030,0.6770127415657043,predicted,III,48.0,12.012,12.06,6006,6016,6030,
P,6096,6112,6134,0.8988288044929504,predicted,III,76.0,12.192,12.268,6096,6112,6134,
QRS,6168,6190,6228,0.90602707862854,predicted,III,120.0,12.336,12.456,6168,6190,6228,True
T,6296,6302,6336,0.7141186594963074,predicted,III,80.0,12.592,12.672,6296,6302,6336,
P,6390,6412,6436,0.9107001423835754,predicted,III,92.0,12.78,12.872,6390,6412,6436,
QRS,6468,6490,6528,0.8639379739761353,predicted,III,120.0,12.936,13.056,6468,6490,6528,True
T,6586,6612,6634,0.9078180193901062,predicted,III,96.0,13.172,13.268,6586,6612,6634,
P,6690,6716,6738,0.9621739983558655,predicted,III,96.0,13.38,13.476,6690,6716,6738,
QRS,6774,6792,6840,0.8976836204528809,predicted,III,132.0,13.548,13.68,6774,6792,6840,True
T,6898,6932,6972,0.8161234259605408,predicted,III,148.0,13.796,13.944,6898,6932,6972,
P,6994,7044,7044,0.9467154741287231,predicted,III,100.0,13.988,14.088,6994,7044,7044,
QRS,7072,7092,7170,0.9034614562988281,predicted,III,196.0,14.144,14.34,7072,7092,7170,True
T,7188,7212,7274,0.39397284388542175,predicted,III,172.0,14.376,14.548,7188,7212,7274,
P,7276,7380,7380,0.7647010087966919,predicted,III,208.0,14.552,14.76,7276,7380,7380,
QRS,7382,7392,7444,0.7572116851806641,predicted,III,124.0,14.764,14.888,7382,7392,7444,True
T,20,40,54,0.6238551139831543,predicted,aVR,68.0,0.04,0.108,20,40,54,
P,140,160,182,0.8139870166778564,predicted,aVR,84.0,0.28,0.364,140,160,182,
QRS,212,238,252,0.9065502882003784,predicted,aVR,80.0,0.424,0.504,212,238,252,False
T,302,340,380,0.9646045565605164,predicted,aVR,156.0,0.604,0.76,302,340,380,
P,432,456,476,0.9474301338195801,predicted,aVR,88.0,0.864,0.952,432,456,476,
QRS,506,534,552,0.9189705848693848,predicted,aVR,92.0,1.012,1.104,506,534,552,False
T,600,638,682,0.9483813047409058,predicted,aVR,164.0,1.2,1.364,600,638,682,
P,726,754,772,0.9557053446769714,predicted,aVR,92.0,1.452,1.544,726,754,772,
QRS,804,834,856,0.9286881685256958,predicted,aVR,104.0,1.608,1.712,804,834,856,False
T,896,930,980,0.9738662838935852,predicted,aVR,168.0,1.792,1.96,896,930,980,
P,1024,1070,1070,0.9442899227142334,predicted,aVR,92.0,2.048,2.14,1024,1070,1070,
QRS,1104,1130,1144,0.9463187456130981,predicted,aVR,80.0,2.208,2.288,1104,1130,1144,False
T,1188,1228,1274,0.9698087573051453,predicted,aVR,172.0,2.376,2.548,1188,1228,1274,
P,1316,1350,1366,0.9550803899765015,predicted,aVR,100.0,2.632,2.732,1316,1350,1366,
QRS,1398,1426,1440,0.9306232929229736,predicted,aVR,84.0,2.796,2.88,1398,1426,1440,False
T,1484,1522,1574,0.9661941528320312,predicted,aVR,180.0,2.968,3.148,1484,1522,1574,
P,1616,1662,1662,0.9379281997680664,predicted,aVR,92.0,3.232,3.324,1616,1662,1662,
QRS,1694,1722,1744,0.9180291891098022,predicted,aVR,100.0,3.388,3.488,1694,1722,1744,False
T,1782,1822,1872,0.9694622755050659,predicted,aVR,180.0,3.564,3.744,1782,1822,1872,
P,1910,1938,1958,0.9526073932647705,predicted,aVR,96.0,3.82,3.916,1910,1938,1958,
QRS,1990,2018,2036,0.9321969151496887,predicted,aVR,92.0,3.98,4.072,1990,2018,2036,False
T,2078,2114,2164,0.9632256031036377,predicted,aVR,172.0,4.156,4.328,2078,2114,2164,
P,2214,2258,2258,0.9704875349998474,predicted,aVR,88.0,4.428,4.516,2214,2258,2258,
QRS,2292,2320,2334,0.9288015365600586,predicted,aVR,84.0,4.584,4.668,2292,2320,2334,False
T,2378,2420,2464,0.9709497690200806,predicted,aVR,172.0,4.756,4.928,2378,2420,2464,
P,2508,2552,2552,0.9318156838417053,predicted,aVR,88.0,5.016,5.104,2508,2552,2552,
QRS,2584,2614,2628,0.9056358933448792,predicted,aVR,88.0,5.168,5.256,2584,2614,2628,False
T,2674,2708,2762,0.9610181450843811,predicted,aVR,176.0,5.348,5.524,2674,2708,2762,
P,2798,2828,2848,0.9564638137817383,predicted,aVR,100.0,5.596,5.696,2798,2828,2848,
QRS,2882,2910,2924,0.9429073929786682,predicted,aVR,84.0,5.764,5.848,2882,2910,2924,False
T,2972,3006,3058,0.9461713433265686,predicted,aVR,172.0,5.944,6.116,2972,3006,3058,
P,3094,3124,3144,0.9527301788330078,predicted,aVR,100.0,6.188,6.288,3094,3124,3144,
QRS,3176,3204,3220,0.9362650513648987,predicted,aVR,88.0,6.352,6.44,3176,3204,3220,False
T,3264,3304,3352,0.9604836106300354,predicted,aVR,176.0,6.528,6.704,3264,3304,3352,
P,3396,3424,3440,0.9533840417861938,predicted,aVR,88.0,6.792,6.88,3396,3424,3440,
QRS,3474,3502,3518,0.9355416297912598,predicted,aVR,88.0,6.948,7.036,3474,3502,3518,False
T,3562,3600,3650,0.9648802876472473,predicted,aVR,176.0,7.124,7.3,3562,3600,3650,
P,3694,3726,3744,0.9269102811813354,predicted,aVR,100.0,7.388,7.488,3694,3726,3744,
QRS,3776,3804,3816,0.9439054131507874,predicted,aVR,80.0,7.552,7.632,3776,3804,3816,False
T,3864,3902,3950,0.9666129946708679,predicted,aVR,172.0,7.728,7.9,3864,3902,3950,
P,3992,4036,4036,0.9562822580337524,predicted,aVR,88.0,7.984,8.072,3992,4036,4036,
QRS,4072,4100,4118,0.932816207408905,predicted,aVR,92.0,8.144,8.236,4072,4100,4118,False
T,4160,4198,4246,0.965916633605957,predicted,aVR,172.0,8.32,8.492,4160,4198,4246,
P,4298,4322,4342,0.9483932852745056,predicted,aVR,88.0,8.596,8.684,4298,4322,4342,
QRS,4376,4402,4418,0.9357371926307678,predicted,aVR,84.0,8.752,8.836,4376,4402,4418,False
T,4462,4502,4546,0.9619998335838318,predicted,aVR,168.0,8.924,9.092,4462,4502,4546,
P,4594,4642,4642,0.9404045939445496,predicted,aVR,96.0,9.188,9.284,4594,4642,4642,
QRS,4672,4700,4740,0.8029608130455017,predicted,aVR,136.0,9.344,9.48,4672,4700,4740,True
T,4764,4796,4848,0.9256743788719177,predicted,aVR,168.0,9.528,9.696,4764,4796,4848,
P,4890,4920,4944,0.9221013188362122,predicted,aVR,108.0,9.78,9.888,4890,4920,4944,
QRS,4970,5000,5020,0.9366481304168701,predicted,aVR,100.0,9.94,10.04,4970,5000,5020,False
T,5060,5102,5150,0.9653218984603882,predicted,aVR,180.0,10.12,10.3,5060,5102,5150,
P,5202,5224,5244,0.9563307166099548,predicted,aVR,84.0,10.404,10.488,5202,5224,5244,
QRS,5276,5304,5318,0.9314289093017578,predicted,aVR,84.0,10.552,10.636,5276,5304,5318,False
T,5364,5398,5450,0.9713302850723267,predicted,aVR,172.0,10.728,10.9,5364,5398,5450,
P,5496,5540,5540,0.9630827903747559,predicted,aVR,88.0,10.992,11.08,5496,5540,5540,
QRS,5574,5602,5616,0.9323233962059021,predicted,aVR,84.0,11.148,11.232,5574,5602,5616,False
T,5664,5696,5746,0.9775134325027466,predicted,aVR,164.0,11.328,11.492,5664,5696,5746,
P,5794,5820,5840,0.9577111601829529,predicted,aVR,92.0,11.588,11.68,5794,5820,5840,
QRS,5872,5902,5924,0.9295519590377808,predicted,aVR,104.0,11.744,11.848,5872,5902,5924,False
