wave,onset,peak,offset,confidence,source,lead,duration_ms,onset_s,offset_s,onset_abs,peak_abs,offset_abs,qrs_ge_120
T,2114,2138,2183,0.9686093926429749,predicted,MLII,191.66666666666666,5.872222222222222,6.063888888888889,2114,2138,2183,
P,2251,2267,2282,0.9518238306045532,predicted,MLII,86.11111111111111,6.252777777777778,6.338888888888889,2251,2267,2282,
QRS,2313,2333,2346,0.9440433979034424,predicted,MLII,91.66666666666667,6.425,6.516666666666667,2313,2333,2346,False
T,2395,2395,2441,0.8314407467842102,predicted,MLII,127.77777777777777,6.652777777777778,6.780555555555556,2395,2395,2441,
QRS,2481,2506,2537,0.9592384099960327,predicted,MLII,155.55555555555554,6.891666666666667,7.0472222222222225,2481,2506,2537,True
T,2549,2575,2628,0.9135552644729614,predicted,MLII,219.44444444444446,7.080555555555556,7.3,2549,2575,2628,
P,2706,2717,2739,0.9121868014335632,predicted,MLII,91.66666666666667,7.516666666666667,7.608333333333333,2706,2717,2739,
QRS,2766,2785,2799,0.9540671706199646,predicted,MLII,91.66666666666667,7.683333333333334,7.775,2766,2785,2799,False
T,2844,2845,2886,0.9032976031303406,predicted,MLII,116.66666666666667,7.9,8.016666666666667,2844,2845,2886,
QRS,2964,2988,3030,0.8202940225601196,predicted,MLII,183.33333333333334,8.233333333333333,8.416666666666666,2964,2988,3030,True
T,3037,3072,3120,0.6535792946815491,predicted,MLII,230.55555555555554,8.436111111111112,8.666666666666666,3037,3072,3120,
QRS,3283,3302,3315,0.8916046023368835,predicted,MLII,88.88888888888889,9.119444444444444,9.208333333333334,3283,3302,3315,False
T,3367,3378,3401,0.8203625679016113,predicted,MLII,94.44444444444444,9.352777777777778,9.447222222222223,3367,3378,3401,
QRS,3459,3482,3518,0.9161812663078308,predicted,MLII,163.88888888888889,9.608333333333333,9.772222222222222,3459,3482,3518,True
T,3532,3557,3600,0.9150581359863281,predicted,MLII,188.88888888888889,9.811111111111112,10.0,3532,3557,3600,
P,3679,3701,3701,0.7196024656295776,predicted,MLII,61.111111111111114,10.219444444444445,10.280555555555555,3679,3701,3701,
QRS,3721,3738,3754,0.9449148178100586,predicted,MLII,91.66666666666667,10.33611111111111,10.427777777777777,3721,3738,3754,False
T,3804,3839,3871,0.8766847252845764,predicted,MLII,186.11111111111111,10.566666666666666,10.752777777777778,3804,3839,3871,
P,3901,3918,3933,0.9104189872741699,predicted,MLII,88.88888888888889,10.83611111111111,10.925,3901,3918,3933,
QRS,3957,3976,3990,0.9427472949028015,predicted,MLII,91.66666666666667,10.991666666666667,11.083333333333334,3957,3976,3990,False
T,4023,4062,4097,0.9656161069869995,predicted,MLII,205.55555555555554,11.175,11.380555555555556,4023,4062,4097,
P,4141,4167,4169,0.8608932495117188,predicted,MLII,77.77777777777777,11.502777777777778,11.580555555555556,4141,4167,4169,
QRS,4183,4202,4216,0.9526557922363281,predicted,MLII,91.66666666666667,11.619444444444444,11.71111111111111,4183,4202,4216,False
T,4255,4283,4313,0.9538710713386536,predicted,MLII,161.11111111111111,11.819444444444445,11.980555555555556,4255,4283,4313,
P,4362,4362,4383,0.6053832173347473,predicted,MLII,58.333333333333336,12.116666666666667,12.175,4362,4362,4383,
QRS,4398,4416,4432,0.9480020403862,predicted,MLII,94.44444444444444,12.216666666666667,12.311111111111112,4398,4416,4432,False
T,4470,4510,4548,0.9509536027908325,predicted,MLII,216.66666666666666,12.416666666666666,12.633333333333333,4470,4510,4548,
P,4571,4579,4588,0.7457031607627869,predicted,MLII,47.22222222222222,12.697222222222223,12.744444444444444,4571,4579,4588,
QRS,4627,4647,4661,0.9573488831520081,predicted,MLII,94.44444444444444,12.852777777777778,12.947222222222223,4627,4647,4661,False
T,4707,4742,4779,0.9441763758659363,predicted,MLII,200.0,13.075,13.275,4707,4742,4779,
P,4810,4833,4833,0.7379986047744751,predicted,MLII,63.888888888888886,13.36111111111111,13.425,4810,4833,4833,
QRS,4859,4882,4896,0.9576644897460938,predicted,MLII,102.77777777777777,13.497222222222222,13.6,4859,4882,4896,False
T,4944,4978,5014,0.9742404222488403,predicted,MLII,194.44444444444446,13.733333333333333,13.927777777777777,4944,4978,5014,
QRS,5115,5135,5151,0.9452346563339233,predicted,MLII,100.0,14.208333333333334,14.308333333333334,5115,5135,5151,False
T,5198,5237,5269,0.9270197153091431,predicted,MLII,197.22222222222223,14.438888888888888,14.636111111111111,5198,5237,5269,
QRS,5363,5383,5396,0.9571630358695984,predicted,MLII,91.66666666666667,14.897222222222222,14.988888888888889,5363,5383,5396,False
T,5439,5468,5501,0.9492729306221008,predicted,MLII,172.22222222222223,15.108333333333333,15.280555555555555,5439,5468,5501,
QRS,5587,5606,5620,0.9445099830627441,predicted,MLII,91.66666666666667,15.519444444444444,15.61111111111111,5587,5606,5620,False
T,5665,5689,5721,0.9435663223266602,predicted,MLII,155.55555555555554,15.73611111111111,15.891666666666667,5665,5689,5721,
P,5744,5744,5777,0.8111998438835144,predicted,MLII,91.66666666666667,15.955555555555556,16.04722222222222,5744,5744,5777,
QRS,5803,5822,5838,0.9330465197563171,predicted,MLII,97.22222222222223,16.119444444444444,16.216666666666665,5803,5822,5838,False
T,5875,5911,5946,0.9575205445289612,predicted,MLII,197.22222222222223,16.319444444444443,16.516666666666666,5875,5911,5946,
P,6000,6000,6029,0.8895329236984253,predicted,MLII,80.55555555555556,16.666666666666668,16.747222222222224,6000,6000,6029,
QRS,6070,6088,6103,0.9652120471000671,predicted,MLII,91.66666666666667,16.86111111111111,16.95277777777778,6070,6088,6103,False
T,6139,6178,6202,0.9585731625556946,predicted,MLII,175.0,17.052777777777777,17.227777777777778,6139,6178,6202,
QRS,6260,6284,6322,0.9154136180877686,predicted,MLII,172.22222222222223,17.38888888888889,17.56111111111111,6260,6284,6322,True
T,6332,6360,6405,0.9563817381858826,predicted,MLII,202.77777777777777,17.58888888888889,17.791666666666668,6332,6360,6405,
QRS,6530,6549,6561,0.955149233341217,predicted,MLII,86.11111111111111,18.13888888888889,18.225,6530,6549,6561,False
T,6595,6595,6647,0.8948066234588623,predicted,MLII,144.44444444444446,18.319444444444443,18.46388888888889,6595,6595,6647,
P,6656,6669,6677,0.7836482524871826,predicted,MLII,58.333333333333336,18.488888888888887,18.54722222222222,6656,6669,6677,
QRS,6695,6718,6754,0.9612253308296204,predicted,MLII,163.88888888888889,18.59722222222222,18.761111111111113,6695,6718,6754,True
T,6791,6791,6837,0.8875531554222107,predicted,MLII,127.77777777777777,18.863888888888887,18.991666666666667,6791,6791,6837,
P,6985,6997,7040,0.7300785779953003,predicted,MLII,152.77777777777777,19.40277777777778,19.555555555555557,6985,6997,7040,
QRS,7056,7078,7093,0.9584758281707764,predicted,MLII,102.77777777777777,19.6,19.70277777777778,7056,7078,7093,False
T,7152,7184,7197,0.7918007373809814,predicted,MLII,125.0,19.866666666666667,19.991666666666667,7152,7184,7197,
T,13,29,29,0.6757357120513916,predicted,V1,44.44444444444444,0.03611111111111111,0.08055555555555556,13,29,29,
T,55,58,127,0.40998557209968567,predicted,V1,200.0,0.1527777777777778,0.3527777777777778,55,58,127,
P,148,200,200,0.8316133618354797,predicted,V1,144.44444444444446,0.4111111111111111,0.5555555555555556,148,200,200,
QRS,202,216,265,0.9028255939483643,predicted,V1,175.0,0.5611111111111111,0.7361111111111112,202,216,265,True
T,266,288,372,0.5872501134872437,predicted,V1,294.44444444444446,0.7388888888888889,1.0333333333333334,266,288,372,
T,387,412,415,0.6509178876876831,predicted,V1,77.77777777777777,1.075,1.1527777777777777,387,412,415,
T,557,582,583,0.8176200985908508,predicted,V1,72.22222222222223,1.5472222222222223,1.6194444444444445,557,582,583,
QRS,651,685,729,0.955558717250824,predicted,V1,216.66666666666666,1.8083333333333333,2.025,651,685,729,True
T,736,782,821,0.9570379257202148,predicted,V1,236.11111111111111,2.0444444444444443,2.2805555555555554,736,782,821,
T,1024,1024,1040,0.5979910492897034,predicted,V1,44.44444444444444,2.8444444444444446,2.888888888888889,1024,1024,1040,
T,1045,1047,1056,0.6033456325531006,predicted,V1,30.555555555555557,2.9027777777777777,2.933333333333333,1045,1047,1056,
QRS,1119,1139,1168,0.9381839036941528,predicted,V1,136.11111111111111,3.1083333333333334,3.2444444444444445,1119,1139,1168,True
T,1204,1212,1244,0.9377354383468628,predicted,V1,111.11111111111111,3.3444444444444446,3.4555555555555557,1204,1212,1244,
P,1524,1531,1531,0.6803616881370544,predicted,V1,19.444444444444443,4.233333333333333,4.252777777777778,1524,1531,1531,
QRS,1584,1604,1620,0.9630219340324402,predicted,V1,100.0,4.4,4.5,1584,1604,1620,False
T,1676,1676,1745,0.881561279296875,predicted,V1,191.66666666666666,4.655555555555556,4.847222222222222,1676,1676,1745,
P,1996,2019,2043,0.8852846026420593,predicted,V1,130.55555555555554,5.544444444444444,5.675,1996,2019,2043,
QRS,2045,2065,2091,0.9237963557243347,predicted,V1,127.77777777777777,5.680555555555555,5.808333333333334,2045,2065,2091,True
T,2131,2131,2195,0.8636990189552307,predicted,V1,177.77777777777777,5.919444444444444,6.097222222222222,2131,2131,2195,
QRS,2323,2340,2340,0.7946841716766357,predicted,V1,47.22222222222222,6.4527777777777775,6.5,2323,2340,2340,False
T,2422,2432,2444,0.8430823087692261,predicted,V1,61.111111111111114,6.727777777777778,6.788888888888889,2422,2432,2444,
QRS,2480,2501,2519,0.947627604007721,predicted,V1,108.33333333333333,6.888888888888889,6.997222222222222,2480,2501,2519,False
QRS,2529,2536,2536,0.7168657779693604,predicted,V1,19.444444444444443,7.025,7.044444444444444,2529,2536,2536,False
T,2549,2576,2629,0.9132157564163208,predicted,V1,222.22222222222223,7.080555555555556,7.302777777777778,2549,2576,2629,
QRS,2789,2795,2809,0.7180539965629578,predicted,V1,55.55555555555556,7.747222222222222,7.802777777777778,2789,2795,2809,False
T,2857,2857,2874,0.6874213814735413,predicted,V1,47.22222222222222,7.936111111111111,7.983333333333333,2857,2857,2874,
QRS,2956,2981,3011,0.6392831802368164,predicted,V1,152.77777777777777,8.21111111111111,8.363888888888889,2956,2981,3011,True
T,3040,3083,3084,0.49312901496887207,predicted,V1,122.22222222222223,8.444444444444445,8.566666666666666,3040,3083,3084,
QRS,3293,3311,3326,0.6993724703788757,predicted,V1,91.66666666666667,9.147222222222222,9.238888888888889,3293,3311,3326,False
T,3365,3408,3420,0.8379759192466736,predicted,V1,152.77777777777777,9.347222222222221,9.5,3365,3408,3420,
QRS,3457,3479,3493,0.9685347080230713,predicted,V1,100.0,9.602777777777778,9.702777777777778,3457,3479,3493,False
T,3514,3560,3587,0.9220572113990784,predicted,V1,202.77777777777777,9.761111111111111,9.963888888888889,3514,3560,3587,
QRS,3734,3747,3777,0.9123548865318298,predicted,V1,119.44444444444444,10.372222222222222,10.491666666666667,3734,3747,3777,False
T,3820,3866,3888,0.9449098706245422,predicted,V1,188.88888888888889,10.61111111111111,10.8,3820,3866,3888,
QRS,3964,3970,3999,0.9499424695968628,predicted,V1,97.22222222222223,11.011111111111111,11.108333333333333,3964,3970,3999,False
QRS,4415,4427,4447,0.8891386985778809,predicted,V1,88.88888888888889,12.26388888888889,12.352777777777778,4415,4427,4447,False
T,4526,4542,4553,0.6302953362464905,predicted,V1,75.0,12.572222222222223,12.647222222222222,4526,4542,4553,
QRS,4634,4657,4677,0.9263988733291626,predicted,V1,119.44444444444444,12.872222222222222,12.991666666666667,4634,4657,4677,False
T,4713,4743,4749,0.7547026872634888,predicted,V1,100.0,13.091666666666667,13.191666666666666,4713,4743,4749,
QRS,4866,4892,4913,0.9165377020835876,predicted,V1,130.55555555555554,13.516666666666667,13.647222222222222,4866,4892,4913,True
T,4942,4956,4991,0.9115918874740601,predicted,V1,136.11111111111111,13.727777777777778,13.863888888888889,4942,4956,4991,
T,5085,5085,5098,0.4862762987613678,predicted,V1,36.111111111111114,14.125,14.161111111111111,5085,5085,5098,
QRS,5131,5144,5160,0.8469966053962708,predicted,V1,80.55555555555556,14.252777777777778,14.333333333333334,5131,5144,5160,False
T,5211,5211,5226,0.5456461906433105,predicted,V1,41.666666666666664,14.475,14.516666666666667,5211,5211,5226,
QRS,5269,5292,5292,0.7254676222801208,predicted,V1,63.888888888888886,14.636111111111111,14.7,5269,5292,5292,False
P,5351,5361,5363,0.5311662554740906,predicted,V1,33.333333333333336,14.863888888888889,14.897222222222222,5351,5361,5363,
QRS,5364,5391,5417,0.8998088836669922,predicted,V1,147.22222222222223,14.9,15.047222222222222,5364,5391,5417,True
T,5446,5462,5478,0.7106823325157166,predicted,V1,88.88888888888889,15.127777777777778,15.216666666666667,5446,5462,5478,
QRS,5607,5615,5633,0.8468613028526306,predicted,V1,72.22222222222223,15.575,15.647222222222222,5607,5615,5633,False
QRS,5820,5832,5855,0.9236805438995361,predicted,V1,97.22222222222223,16.166666666666668,16.26388888888889,5820,5832,5855,False
T,5904,5937,5941,0.8785468935966492,predicted,V1,102.77777777777777,16.4,16.502777777777776,5904,5937,5941,
QRS,6072,6097,6119,0.9307109713554382,predicted,V1,130.55555555555554,16.866666666666667,16.997222222222224,6072,6097,6119,True
T,6165,6180,6229,0.9410074353218079,predicted,V1,177.77777777777777,17.125,17.302777777777777,6165,6180,6229,
QRS,6260,6278,6324,0.9433379173278809,predicted,V1,177.77777777777777,17.38888888888889,17.566666666666666,6260,6278,6324,True
T,6355,6363,6405,0.9157148003578186,predicted,V1,138.88888888888889,17.65277777777778,17.791666666666668,6355,6363,6405,
QRS,6536,6556,6572,0.8528883457183838,predicted,V1,100.0,18.155555555555555,18.255555555555556,6536,6556,6572,False
P,6644,6680,6687,0.9227174520492554,predicted,V1,119.44444444444444,18.455555555555556,18.575,6644,6680,6687,
QRS,6695,6712,6726,0.929695725440979,predicted,V1,86.11111111111111,18.59722222222222,18.683333333333334,6695,6712,6726,False
T,6791,6791,6798,0.6791561245918274,predicted,V1,19.444444444444443,18.863888888888887,18.883333333333333,6791,6791,6798,
T,6804,6820,6854,0.9167898893356323,predicted,V1,138.88888888888889,18.9,19.038888888888888,6804,6820,6854,
P,7037,7044,7060,0.7366020679473877,predicted,V1,63.888888888888886,19.54722222222222,19.61111111111111,7037,7044,7060,
QRS,7063,7088,7111,0.938838005065918,predicted,V1,133.33333333333334,19.619444444444444,19.752777777777776,7063,7088,7111,True
T,7148,7194,7199,0.9034363627433777,predicted,V1,141.66666666666666,19.855555555555554,19.997222222222224,7148,7194,7199,
